uid,campaign,max_exposure,total_clicks,first_click,early_ctr,later_ctr,ctr_decline,fatigued,campaign_overall_ctr,campaign_total_impressions,hour_of_day,day_of_week,ctr_tier,fatigue_risk,risk_tier
39337,5061834,5,1,1,0.5,0.0,0.5,1,0.2671499107049059,9519,18,4,Low CTR,0.4567269,Medium Risk
39815,14121532,6,3,1,1.0,0.25,0.75,1,0.3767386800828647,3379,18,2,High CTR,0.277214,Low Risk
43294,10341182,8,5,1,1.0,0.5,0.5,0,0.4099080091146932,11849,5,3,High CTR,0.31195623,Medium Risk
47054,3892353,10,2,0,0.5,0.125,0.375,1,0.3252710592160133,1199,18,5,Medium CTR,0.14183198,Low Risk
48303,20097969,5,2,0,0.5,0.3333333333333333,0.16666666666666669,0,0.2531645569620253,632,18,6,Low CTR,0.1254881,Low Risk
52473,497593,5,5,1,1.0,1.0,0.0,0,0.3965014577259475,5831,15,2,High CTR,0.3379475,Medium Risk
54184,7121544,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.3454198473282442,3668,12,0,Medium CTR,0.34797043,Medium Risk
58301,2576437,6,1,1,0.5,0.0,0.5,1,0.3901981788966256,3734,5,6,High CTR,0.33171573,Medium Risk
61556,8980584,5,3,1,0.5,0.6666666666666666,-0.16666666666666663,0,0.3288590604026846,1043,7,0,Medium CTR,0.33752105,Medium Risk
61556,9500303,5,2,1,1.0,0.0,1.0,1,0.4492753623188406,345,14,5,High CTR,0.18947488,Low Risk
62504,10341182,6,4,1,1.0,0.5,0.5,0,0.4099080091146932,11849,11,3,High CTR,0.28801546,Low Risk
64350,20938751,5,2,0,0.5,0.3333333333333333,0.16666666666666669,0,0.2991228070175438,1140,11,0,Low CTR,0.07885483,Low Risk
64350,22391321,5,3,1,0.5,0.6666666666666666,-0.16666666666666663,0,0.2869440459110473,697,7,0,Low CTR,0.37464467,Medium Risk
66739,8980585,22,13,1,0.5,0.6,-0.09999999999999998,0,0.3178807947019867,1208,21,1,Medium CTR,0.33559456,Medium Risk
66877,15184511,6,0,0,0.0,0.0,0.0,0,0.3249780123131046,6822,14,5,Medium CTR,0.10812104,Low Risk
69598,8695046,8,5,0,0.5,0.6666666666666666,-0.16666666666666663,0,0.4395604395604395,91,7,0,High CTR,0.08092355,Low Risk
70414,30801593,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.3822437910362546,14012,13,1,High CTR,0.11452335,Low Risk
75192,10341182,5,2,1,1.0,0.0,1.0,1,0.4099080091146932,11849,16,3,High CTR,0.28801546,Low Risk
76933,30729721,6,6,1,1.0,1.0,0.0,0,0.2619047619047619,924,20,3,Low CTR,0.34673265,Medium Risk
78592,8500299,10,7,0,0.5,0.75,-0.25,0,0.4819672131147541,305,20,6,High CTR,0.07114049,Low Risk
80114,15422821,5,3,0,0.5,0.6666666666666666,-0.16666666666666663,0,0.3617571059431524,774,19,3,Medium CTR,0.13125604,Low Risk
80583,6810200,13,11,1,1.0,0.8181818181818182,0.18181818181818177,0,0.3090087181143042,3097,18,1,Medium CTR,0.3538732,Medium Risk
82738,23852329,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.2797527047913447,3235,7,4,Low CTR,0.41589126,Medium Risk
92551,12121528,18,4,1,0.5,0.1875,0.3125,1,0.3713027061044682,1589,19,1,High CTR,0.28175122,Low Risk
96949,32323516,7,2,0,0.5,0.2,0.3,1,0.2647887323943662,3550,2,5,Low CTR,0.19101857,Low Risk
99836,9100692,6,3,0,0.0,0.75,-0.75,0,0.3081896551724138,1392,17,6,Medium CTR,0.14275883,Low Risk
101052,15184511,9,5,0,0.5,0.5714285714285714,-0.0714285714285714,0,0.3249780123131046,6822,10,1,Medium CTR,0.10875388,Low Risk
104943,3073302,6,1,0,0.0,0.25,-0.25,0,0.2574257425742574,303,15,0,Low CTR,0.08265742,Low Risk
108268,2828357,7,4,0,0.5,0.6,-0.09999999999999998,0,0.3493234932349323,2439,14,3,Medium CTR,0.10829496,Low Risk
110938,10341182,7,5,1,1.0,0.6,0.4,0,0.4099080091146932,11849,17,5,High CTR,0.30241776,Medium Risk
111020,2865314,9,5,1,0.5,0.5714285714285714,-0.0714285714285714,0,0.2063197026022304,2690,16,1,Low CTR,0.5269573,High Risk
111971,2946551,5,5,1,1.0,1.0,0.0,0,0.5980662983425414,1448,20,5,High CTR,0.06761992,Low Risk
112612,9100689,5,4,0,0.5,1.0,-0.5,0,0.3616504854368932,1648,9,2,Medium CTR,0.107081674,Low Risk
115200,17686799,11,3,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.2946739671478347,12054,8,0,Low CTR,0.07834215,Low Risk
116764,9100691,5,0,0,0.0,0.0,0.0,0,0.2997159090909091,1408,13,3,Low CTR,0.10550999,Low Risk
117063,24126625,5,3,1,0.5,0.6666666666666666,-0.16666666666666663,0,0.5238095238095238,1974,20,4,High CTR,0.22896913,Low Risk
128789,30491418,9,4,0,0.0,0.5714285714285714,-0.5714285714285714,0,0.3651655861223059,5707,13,5,Medium CTR,0.12967423,Low Risk
136118,18975823,6,6,1,1.0,1.0,0.0,0,0.4395967868955741,6349,10,3,High CTR,0.332768,Medium Risk
142375,497590,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.2756696428571428,896,18,2,Low CTR,0.14875986,Low Risk
146143,17686799,16,4,0,0.5,0.21428571428571427,0.2857142857142857,1,0.2946739671478347,12054,9,5,Low CTR,0.11332571,Low Risk
146489,5061834,11,4,1,0.5,0.3333333333333333,0.16666666666666669,0,0.2671499107049059,9519,10,4,Low CTR,0.50754094,High Risk
146578,15746419,9,6,1,1.0,0.5714285714285714,0.4285714285714286,0,0.3780945236309077,1333,13,5,High CTR,0.3345448,Medium Risk
148090,3291799,5,3,1,0.5,0.6666666666666666,-0.16666666666666663,0,0.3058419243986254,291,14,5,Low CTR,0.40504655,Medium Risk
151345,15746419,7,1,0,0.0,0.2,-0.2,0,0.3780945236309077,1333,9,3,High CTR,0.12415113,Low Risk
152141,2576437,5,1,1,0.5,0.0,0.5,1,0.3901981788966256,3734,11,6,High CTR,0.38360646,Medium Risk
152980,716288,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.3096153846153846,2080,13,4,Medium CTR,0.42509186,Medium Risk
154178,12089529,24,19,1,1.0,0.7727272727272727,0.2272727272727273,0,0.3300970873786408,824,18,4,Medium CTR,0.34770492,Medium Risk
156544,13770704,9,7,1,1.0,0.7142857142857143,0.2857142857142857,0,0.2369146005509642,363,23,0,Low CTR,0.5117104,High Risk
161682,28920697,13,7,0,0.5,0.5454545454545454,-0.045454545454545414,0,0.5400340715502555,587,9,0,High CTR,0.061919454,Low Risk
162262,23817046,5,0,0,0.0,0.0,0.0,0,0.3949640287769784,2780,11,1,High CTR,0.117769755,Low Risk
162330,10321103,6,1,1,0.5,0.0,0.5,1,0.3591455273698264,749,12,3,Medium CTR,0.35184634,Medium Risk
162330,17710664,9,2,1,0.5,0.14285714285714285,0.35714285714285715,1,0.3023735810113519,969,22,6,Low CTR,0.44240567,Medium Risk
165645,10341182,12,4,0,0.5,0.3,0.2,0,0.4099080091146932,11849,3,5,High CTR,0.18902801,Low Risk
170853,16184517,11,3,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.2247873633049817,1646,18,0,Low CTR,0.10436979,Low Risk
172187,28864844,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.3486238532110092,109,11,1,Medium CTR,0.15585499,Low Risk
175136,8980584,5,5,1,1.0,1.0,0.0,0,0.3288590604026846,1043,7,1,Medium CTR,0.3764583,Medium Risk
180095,32452111,6,1,1,0.5,0.0,0.5,1,0.3319703552261692,3913,12,1,Medium CTR,0.3719272,Medium Risk
181224,32452111,23,10,1,1.0,0.38095238095238093,0.6190476190476191,1,0.3319703552261692,3913,16,2,Medium CTR,0.3719272,Medium Risk
181787,30801593,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.3822437910362546,14012,12,6,High CTR,0.3337554,Medium Risk
188784,32135670,18,9,1,0.5,0.5,0.0,0,0.2420749279538905,1388,6,1,Low CTR,0.5918861,High Risk
198555,12121528,6,3,0,0.0,0.75,-0.75,0,0.3713027061044682,1589,21,2,High CTR,0.098071374,Low Risk
202327,10341182,6,4,1,1.0,0.5,0.5,0,0.4099080091146932,11849,2,2,High CTR,0.25012016,Low Risk
204568,28795043,16,11,1,1.0,0.6428571428571429,0.3571428571428571,0,0.2450592885375494,1265,10,2,Low CTR,0.5859715,High Risk
205925,30801593,7,1,0,0.0,0.2,-0.2,0,0.3822437910362546,14012,8,1,High CTR,0.12019208,Low Risk
208666,10341182,21,17,1,1.0,0.7894736842105263,0.21052631578947367,0,0.4099080091146932,11849,19,1,High CTR,0.25979424,Low Risk
208916,29389116,10,7,1,1.0,0.625,0.375,0,0.2571912013536379,1182,6,6,Low CTR,0.4999095,Medium Risk
209244,12843318,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.4815864022662889,1412,18,0,High CTR,0.18328527,Low Risk
210148,27385784,12,1,0,0.5,0.0,0.5,1,0.3142329020332717,541,11,0,Medium CTR,0.10795091,Low Risk
218161,7336375,5,3,1,0.5,0.6666666666666666,-0.16666666666666663,0,0.3907563025210084,238,8,5,High CTR,0.3190907,Medium Risk
218586,9042365,5,1,1,0.5,0.0,0.5,1,0.3377483443708609,302,13,6,Medium CTR,0.417276,Medium Risk
219170,26945970,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.3740458015267175,131,11,1,High CTR,0.2562318,Low Risk
225001,8980584,7,2,1,1.0,0.0,1.0,1,0.3288590604026846,1043,12,6,Medium CTR,0.4280138,Medium Risk
227594,17686799,23,17,1,1.0,0.7142857142857143,0.2857142857142857,0,0.2946739671478347,12054,11,4,Low CTR,0.4028944,Medium Risk
229946,4814007,6,4,1,1.0,0.5,0.5,0,0.3121951219512195,1435,15,1,Medium CTR,0.41369253,Medium Risk
232865,2576437,5,2,0,0.0,0.6666666666666666,-0.6666666666666666,0,0.3901981788966256,3734,7,0,High CTR,0.08995171,Low Risk
233550,828346,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.3256484149855908,347,7,1,Medium CTR,0.11545099,Low Risk
236892,604244,5,2,0,0.5,0.3333333333333333,0.16666666666666669,0,0.5106888361045131,421,6,3,High CTR,0.09910435,Low Risk
239803,9100691,13,11,1,1.0,0.8181818181818182,0.18181818181818177,0,0.2997159090909091,1408,9,4,Low CTR,0.4273543,Medium Risk
239803,11959615,6,4,0,0.5,0.75,-0.25,0,0.6377063423110338,1151,22,0,High CTR,0.062040336,Low Risk
242951,7061828,6,1,0,0.0,0.25,-0.25,0,0.2826506024096386,4150,11,4,Low CTR,0.12251357,Low Risk
243083,2946551,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.5980662983425414,1448,15,0,High CTR,0.09570347,Low Risk
245354,26852339,5,0,0,0.0,0.0,0.0,0,0.202249938860357,4089,11,4,Low CTR,0.13389876,Low Risk
245574,29513913,7,2,0,0.5,0.2,0.3,1,0.4774011299435028,354,10,5,High CTR,0.08845267,Low Risk
245574,29513916,7,3,1,0.5,0.4,0.09999999999999998,0,0.3830645161290322,248,8,5,High CTR,0.3211153,Medium Risk
256881,29531983,5,3,1,1.0,0.3333333333333333,0.6666666666666667,1,0.269047619047619,420,12,1,Low CTR,0.5148313,High Risk
257393,13422843,9,3,1,0.5,0.2857142857142857,0.2142857142857143,0,0.3573148705599037,3322,7,1,Medium CTR,0.33197927,Medium Risk
262725,5044698,6,4,1,1.0,0.5,0.5,0,0.3453772582359192,3764,12,2,Medium CTR,0.3719272,Medium Risk
262792,32323516,13,2,0,0.5,0.09090909090909091,0.40909090909090906,1,0.2647887323943662,3550,12,0,Low CTR,0.07778799,Low Risk
265775,14235907,12,2,0,0.5,0.1,0.4,1,0.4031971580817051,1689,18,2,High CTR,0.092495956,Low Risk
268839,10341182,11,3,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.4099080091146932,11849,2,0,High CTR,0.11204228,Low Risk
272433,2865315,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.5041322314049587,605,15,5,High CTR,0.092495054,Low Risk
272750,10341182,6,5,1,1.0,0.75,0.25,0,0.4099080091146932,11849,4,5,High CTR,0.3012,Medium Risk
273879,23377306,6,2,0,0.5,0.25,0.25,0,0.2857142857142857,581,9,5,Low CTR,0.11829189,Low Risk
274978,28752986,5,3,1,1.0,0.3333333333333333,0.6666666666666667,1,0.3381088825214899,349,12,3,Medium CTR,0.37731683,Medium Risk
276912,24389111,6,5,1,1.0,0.75,0.25,0,0.2802030456852792,1970,18,1,Low CTR,0.35006192,Medium Risk
277879,26852339,12,3,1,0.5,0.2,0.3,1,0.202249938860357,4089,8,6,Low CTR,0.57118165,High Risk
281019,6686701,12,5,1,1.0,0.3,0.7,1,0.3614945702190318,5433,8,0,Medium CTR,0.32064077,Medium Risk
285196,18975823,6,6,1,1.0,1.0,0.0,0,0.4395967868955741,6349,20,3,High CTR,0.28871867,Low Risk
289657,5121533,13,0,0,0.0,0.0,0.0,0,0.3053613053613053,429,7,0,Low CTR,0.07506325,Low Risk
294364,28351001,17,16,1,1.0,0.9333333333333333,0.06666666666666665,0,0.5881664716697309,5983,22,2,High CTR,0.16248305,Low Risk
300282,30368132,5,1,1,0.5,0.0,0.5,1,0.3061855670103093,1940,8,5,Low CTR,0.41510853,Medium Risk
300526,26852339,15,3,0,0.0,0.23076923076923078,-0.23076923076923078,0,0.202249938860357,4089,6,5,Low CTR,0.13727756,Low Risk
301143,20817326,20,16,1,1.0,0.7777777777777778,0.2222222222222222,0,0.3663282571912014,1182,5,2,High CTR,0.35186964,Medium Risk
301348,10341182,8,2,0,0.5,0.16666666666666666,0.33333333333333337,1,0.4099080091146932,11849,5,1,High CTR,0.17169015,Low Risk
309054,7061828,5,0,0,0.0,0.0,0.0,0,0.2826506024096386,4150,15,5,Low CTR,0.10620536,Low Risk
310570,5686703,13,6,1,1.0,0.36363636363636365,0.6363636363636364,1,0.356539035305818,2011,12,2,Medium CTR,0.33073902,Medium Risk
310570,12100671,5,4,1,1.0,0.6666666666666666,0.33333333333333337,0,0.2929984779299848,1314,14,5,Low CTR,0.4272766,Medium Risk
315380,14661605,12,11,1,1.0,0.9,0.09999999999999998,0,0.3218811602365531,3551,21,1,Medium CTR,0.31811932,Medium Risk
321149,8403848,11,8,1,1.0,0.6666666666666666,0.33333333333333337,0,0.2827506723011909,2603,8,2,Low CTR,0.41480988,Medium Risk
321149,15398570,33,24,1,1.0,0.7096774193548387,0.29032258064516125,0,0.3327908089995213,10445,8,0,Medium CTR,0.27812028,Low Risk
321149,17288254,7,5,1,0.5,0.8,-0.30000000000000004,0,0.3479359730412805,1187,12,6,Medium CTR,0.42510876,Medium Risk
321185,4828346,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.2396825396825397,1260,16,0,Low CTR,0.12951298,Low Risk
324385,10341182,6,1,0,0.0,0.25,-0.25,0,0.4099080091146932,11849,10,3,High CTR,0.13925454,Low Risk
327574,497593,23,12,1,0.5,0.5238095238095238,-0.023809523809523836,0,0.3965014577259475,5831,6,4,High CTR,0.3620237,Medium Risk
330971,13823055,7,0,0,0.0,0.0,0.0,0,0.2131979695431472,197,17,2,Low CTR,0.16231741,Low Risk
331925,18975823,6,4,0,0.0,1.0,-1.0,0,0.4395967868955741,6349,20,3,High CTR,0.123251945,Low Risk
334353,604249,6,0,0,0.0,0.0,0.0,0,0.4727668845315904,459,14,0,High CTR,0.057898745,Low Risk
336034,17710664,9,5,0,0.5,0.5714285714285714,-0.0714285714285714,0,0.3023735810113519,969,22,2,Low CTR,0.13851964,Low Risk
338622,21640043,12,3,0,0.0,0.3,-0.3,0,0.3226773226773227,1001,7,2,Medium CTR,0.12746169,Low Risk
339214,5061834,5,3,0,0.5,0.6666666666666666,-0.16666666666666663,0,0.2671499107049059,9519,9,0,Low CTR,0.10607688,Low Risk
341836,26852338,5,0,0,0.0,0.0,0.0,0,0.2024367385192127,3201,19,0,Low CTR,0.10329974,Low Risk
346834,10474106,12,6,1,1.0,0.4,0.6,1,0.5068928950159067,943,7,5,High CTR,0.21635467,Low Risk
350707,13289562,7,5,1,1.0,0.6,0.4,0,0.2881866064710308,1329,23,5,Low CTR,0.43531764,Medium Risk
358615,18975813,12,4,1,0.5,0.3,0.2,0,0.4163424124513619,1542,10,1,High CTR,0.31328213,Medium Risk
360164,5061834,5,2,1,1.0,0.0,1.0,1,0.2671499107049059,9519,19,5,Low CTR,0.47754505,Medium Risk
360853,26389107,6,1,1,0.5,0.0,0.5,1,0.1715542521994134,1364,12,3,Low CTR,0.5992747,High Risk
363583,23852329,9,2,1,0.5,0.14285714285714285,0.35714285714285715,1,0.2797527047913447,3235,5,1,Low CTR,0.41913816,Medium Risk
364050,15398570,14,10,0,0.5,0.75,-0.25,0,0.3327908089995213,10445,15,5,Medium CTR,0.10317221,Low Risk
370650,30491418,12,6,1,0.5,0.5,0.0,0,0.3651655861223059,5707,19,2,Medium CTR,0.29768753,Low Risk
377998,2869134,5,4,1,0.5,1.0,-0.5,0,0.2993051843933725,1871,22,2,Low CTR,0.3460628,Medium Risk
378245,2576437,5,3,1,1.0,0.3333333333333333,0.6666666666666667,1,0.3901981788966256,3734,5,3,High CTR,0.3477548,Medium Risk
379157,25998433,18,4,0,0.0,0.25,-0.25,0,0.300768386388584,911,18,1,Low CTR,0.11925467,Low Risk
379268,9100691,5,2,1,1.0,0.0,1.0,1,0.2997159090909091,1408,16,3,Low CTR,0.40404004,Medium Risk
379738,497593,5,0,0,0.0,0.0,0.0,0,0.3965014577259475,5831,7,2,High CTR,0.12368104,Low Risk
380586,6686701,29,23,1,1.0,0.7777777777777778,0.2222222222222222,0,0.3614945702190318,5433,19,1,Medium CTR,0.29768753,Low Risk
386624,18975823,14,0,0,0.0,0.0,0.0,0,0.4395967868955741,6349,11,0,High CTR,0.12764266,Low Risk
388771,32009848,9,0,0,0.0,0.0,0.0,0,0.2164141414141414,3960,22,0,Low CTR,0.11074088,Low Risk
391064,17686799,6,2,0,0.5,0.25,0.25,0,0.2946739671478347,12054,21,0,Low CTR,0.104478575,Low Risk
393843,12700454,9,6,0,0.5,0.7142857142857143,-0.2142857142857143,0,0.3402722177742194,1249,19,0,Medium CTR,0.10103512,Low Risk
396532,15654897,7,4,1,1.0,0.4,0.6,1,0.4100856327307326,1051,8,6,High CTR,0.33442456,Medium Risk
398811,15398570,8,0,0,0.0,0.0,0.0,0,0.3327908089995213,10445,8,1,Medium CTR,0.097457774,Low Risk
404147,21765872,6,6,1,1.0,1.0,0.0,0,0.3003194888178914,313,18,5,Low CTR,0.3483817,Medium Risk
406965,26998428,6,2,0,0.0,0.5,-0.5,0,0.3056426332288401,2552,21,4,Low CTR,0.17801552,Low Risk
407809,13576407,7,0,0,0.0,0.0,0.0,0,0.2487623762376237,808,11,6,Low CTR,0.14946045,Low Risk
412335,21016759,9,1,1,0.5,0.0,0.5,1,0.3027522935779816,545,16,1,Low CTR,0.44766766,Medium Risk
418403,24045154,13,9,1,1.0,0.6363636363636364,0.36363636363636365,0,0.3303964757709251,227,10,0,Medium CTR,0.34794974,Medium Risk
420341,12987593,9,1,0,0.0,0.14285714285714285,-0.14285714285714285,0,0.3609022556390977,399,19,1,Medium CTR,0.1233448,Low Risk
424508,804100,8,0,0,0.0,0.0,0.0,0,0.25626204238921,519,18,3,Low CTR,0.11791753,Low Risk
424561,787943,6,3,0,0.0,0.75,-0.75,0,0.2684931506849315,1095,10,3,Low CTR,0.14607088,Low Risk
427494,4814007,12,4,0,0.0,0.4,-0.4,0,0.3121951219512195,1435,19,0,Medium CTR,0.100171104,Low Risk
429382,14121532,5,3,0,0.0,1.0,-1.0,0,0.3767386800828647,3379,17,0,High CTR,0.08721056,Low Risk
429382,23852330,29,15,0,0.5,0.5185185185185185,-0.01851851851851849,0,0.40625,256,12,2,High CTR,0.11594371,Low Risk
429870,24126625,12,3,1,0.5,0.2,0.3,1,0.5238095238095238,1974,0,3,High CTR,0.116966486,Low Risk
434966,6781040,6,5,1,1.0,0.75,0.25,0,0.3157894736842105,665,12,1,Medium CTR,0.43246642,Medium Risk
437858,5061834,6,4,1,1.0,0.5,0.5,0,0.2671499107049059,9519,10,4,Low CTR,0.50754094,High Risk
439332,27321366,6,1,0,0.5,0.0,0.5,1,0.3404680365296804,3504,11,0,Medium CTR,0.09511602,Low Risk
441106,9100691,7,1,1,0.5,0.0,0.5,1,0.2997159090909091,1408,17,1,Low CTR,0.38863152,Medium Risk
443846,5743167,12,6,1,0.5,0.5,0.0,0,0.3278688524590163,183,7,1,Medium CTR,0.3526736,Medium Risk
443846,12121528,20,9,0,0.5,0.4444444444444444,0.05555555555555558,0,0.3713027061044682,1589,9,0,High CTR,0.08945191,Low Risk
443846,26998428,5,2,0,0.0,0.6666666666666666,-0.6666666666666666,0,0.3056426332288401,2552,9,5,Low CTR,0.116337515,Low Risk
450337,15184511,21,6,0,0.0,0.3157894736842105,-0.3157894736842105,0,0.3249780123131046,6822,11,1,Medium CTR,0.10875388,Low Risk
452883,20938751,5,2,1,1.0,0.0,1.0,1,0.2991228070175438,1140,6,5,Low CTR,0.43193933,Medium Risk
459235,3694556,9,4,0,0.0,0.5714285714285714,-0.5714285714285714,0,0.4193548387096774,186,17,0,High CTR,0.059922423,Low Risk
460512,24267774,7,4,1,0.5,0.6,-0.09999999999999998,0,0.3962264150943396,265,15,3,High CTR,0.32880086,Medium Risk
464072,17686799,6,6,1,1.0,1.0,0.0,0,0.2946739671478347,12054,9,6,Low CTR,0.4003541,Medium Risk
464593,4814007,6,1,0,0.5,0.0,0.5,1,0.3121951219512195,1435,6,2,Medium CTR,0.13021037,Low Risk
465986,12089529,7,1,1,0.5,0.0,0.5,1,0.3300970873786408,824,16,0,Medium CTR,0.34122732,Medium Risk
473130,6686703,5,0,0,0.0,0.0,0.0,0,0.3321616871704745,569,13,0,Medium CTR,0.074215926,Low Risk
477692,21294794,7,3,1,1.0,0.2,0.8,1,0.3874425727411945,1306,18,6,High CTR,0.32294658,Medium Risk
478952,30368132,6,3,0,0.5,0.5,0.0,0,0.3061855670103093,1940,6,5,Low CTR,0.12827541,Low Risk
480579,17321082,15,8,1,0.5,0.5384615384615384,-0.038461538461538436,0,0.366504854368932,2472,4,6,High CTR,0.31391397,Medium Risk
482140,26852338,6,1,0,0.0,0.25,-0.25,0,0.2024367385192127,3201,15,3,Low CTR,0.10937402,Low Risk
484692,12700454,5,2,1,1.0,0.0,1.0,1,0.3402722177742194,1249,12,3,Medium CTR,0.3739826,Medium Risk
486656,27118781,6,1,1,0.5,0.0,0.5,1,0.3483691880638445,1441,11,1,Medium CTR,0.3698643,Medium Risk
490031,31772643,7,6,1,1.0,0.8,0.19999999999999996,0,0.446255335661622,5154,19,3,High CTR,0.29683366,Low Risk
490607,12407222,12,7,0,0.0,0.7,-0.7,0,0.4372294372294372,231,20,1,High CTR,0.0747367,Low Risk
490607,22451482,8,4,1,1.0,0.3333333333333333,0.6666666666666667,1,0.3012422360248447,322,19,0,Low CTR,0.32600832,Medium Risk
491905,12002431,9,7,1,1.0,0.7142857142857143,0.2857142857142857,0,0.3892617449664429,298,11,6,High CTR,0.37206668,Medium Risk
492090,13947795,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.3095541401273885,1570,15,1,Medium CTR,0.107009456,Low Risk
495056,4869922,33,21,0,0.5,0.6451612903225806,-0.14516129032258063,0,0.4405204460966542,1076,4,0,High CTR,0.081812106,Low Risk
498739,7061828,7,5,1,1.0,0.6,0.4,0,0.2826506024096386,4150,18,0,Low CTR,0.3479396,Medium Risk
500029,3892353,6,0,0,0.0,0.0,0.0,0,0.3252710592160133,1199,16,0,Medium CTR,0.11412588,Low Risk
504013,2865314,7,0,0,0.0,0.0,0.0,0,0.2063197026022304,2690,12,3,Low CTR,0.10937402,Low Risk
506215,9100692,6,5,1,1.0,0.75,0.25,0,0.3081896551724138,1392,20,0,Medium CTR,0.3304198,Medium Risk
509557,28137208,5,0,0,0.0,0.0,0.0,0,0.3415285943345804,1871,10,5,Medium CTR,0.11153958,Low Risk
513871,18975823,9,8,1,1.0,0.8571428571428571,0.1428571428571429,0,0.4395967868955741,6349,17,0,High CTR,0.29272112,Low Risk
515304,14235907,7,5,1,0.5,0.8,-0.30000000000000004,0,0.4031971580817051,1689,7,6,High CTR,0.30304024,Medium Risk
518601,17686799,14,4,1,0.5,0.25,0.25,0,0.2946739671478347,12054,20,1,Low CTR,0.3613829,Medium Risk
520241,26852339,5,1,0,0.0,0.3333333333333333,-0.3333333333333333,0,0.202249938860357,4089,6,0,Low CTR,0.091826886,Low Risk
523453,13947795,8,4,1,1.0,0.3333333333333333,0.6666666666666667,1,0.3095541401273885,1570,9,4,Medium CTR,0.43715522,Medium Risk
532803,497593,5,2,0,0.0,0.6666666666666666,-0.6666666666666666,0,0.3965014577259475,5831,8,6,High CTR,0.13106234,Low Risk
536959,9095251,8,5,1,1.0,0.5,0.5,0,0.6272912423625254,982,13,1,High CTR,0.16088758,Low Risk
